id_respuesta,fecha,edad,area,satisfaccion,comentario
R00001,2025-01-07,57.0,Atención,9,Excelente
R00002,2025-01-20,30.0,Soporte,4,No resolvieron
R00003,2025-01-29,40.0,Atención,1,Mal servicio
R00004,2025-01-15,33.0,Postventa,8,Excelente
R00005,2025-01-11,47.0,Atención,8,Todo correcto
R00006,2025-01-08,21.0,Atención,3,Regular
R00007,2025-01-29,57.0,Ventas,9,Excelente
R00008,2025-01-21,33.0,Atención,7,Mal servicio
R00009,2025-01-07,48.0,Postventa,7,Poco claro
R00010,2025-01-26,59.0,Atención,5,Mal servicio
R00011,2025-01-19,42.0,Atención,3,
R00012,2025-01-23,61.0,Atención,10,Todo correcto
R00013,2025-01-11,29.0,Atención,5,Regular
R00014,2025-01-11,43.0,Soporte,3,
R00015,2025-01-24,54.0,Atención,3,
R00016,2025-01-21,65.0,Soporte,1,Mal servicio
R00017,2025-01-04,50.0,Atención,4,
R00018,2025-01-08,45.0,Soporte,9,Rápido
R00019,2025-01-24,26.0,Atención,6,Mal servicio
R00020,2025-01-03,29.0,Soporte,6,
R00021,2025-01-22,22.0,Atención,6,Demora
R00022,2025-01-21,45.0,Atención,5,No resolvieron
R00023,2025-01-02,52.0,Ventas,2,
R00024,2025-01-24,22.0,Soporte,5,
R00025,2025-01-12,51.0,Atención,10,Excelente
R00026,2025-01-30,63.0,Atención,3,
R00027,2025-01-06,51.0,Atención,10,Todo correcto
R00028,2025-01-02,30.0,Ventas,2,Regular
R00029,2025-01-28,56.0,Atención,4,No resolvieron
R00030,2025-01-21,59.0,Soporte,10,Todo correcto
R00031,2025-01-01,62.0,Soporte,9,Rápido
R00032,2025-01-12,,Postventa,7,
R00033,2025-01-26,31.0,Atención,10,Excelente
R00034,2025-01-22,28.0,Soporte,9,Excelente
R00035,2025-01-29,59.0,Atención,3,
R00036,2025-01-12,55.0,Soporte,2,
R00037,2025-01-25,21.0,Soporte,9,Excelente
R00038,2025-01-17,50.0,Atención,6,
R00039,2025-01-27,24.0,Soporte,10,Excelente
R00040,2025-01-27,58.0,Soporte,4,Regular
R00041,2025-01-31,25.0,Atención,4,
R00042,2025-01-10,54.0,Atención,10,Rápido
R00043,2025-01-28,27.0,Atención,10,Muy bien
R00044,2025-01-28,60.0,Atención,6,Mal servicio
R00045,2025-01-16,32.0,Atención,7,
R00046,2025-01-15,55.0,Soporte,10,Excelente
R00047,2025-01-30,32.0,Atención,5,
R00048,2025-01-30,22.0,Atención,8,Muy bien
R00049,2025-01-15,46.0,Ventas,10,Todo correcto
R00050,2025-01-30,36.0,Soporte,1,
R00051,2025-01-19,27.0,Postventa,1,Regular
R00052,2025-01-12,29.0,Ventas,4,Poco claro
R00053,2025-01-23,21.0,Ventas,8,Muy bien
R00054,2025-01-20,48.0,Atención,8,Rápido
R00055,2025-01-25,35.0,Ventas,6,
R00056,2025-01-03,33.0,Ventas,5,
R00057,2025-01-05,57.0,Ventas,10,Muy bien
R00058,2025-01-19,53.0,Atención,10,Excelente
R00059,2025-01-07,,Soporte,2,
R00060,2025-01-21,40.0,Soporte,5,Demora
R00061,2025-01-09,29.0,Soporte,5,Poco claro
R00062,2025-01-07,51.0,Ventas,2,
